ID,Status,Progress,Duration (in seconds),Finished,DistributionChannel,UserLanguage,job,consent,S3_kJ_Q1 ,S3_kJ_Q2,S3_kJ_Q3,S3_kJ_Q4,S3_kJ_Q5,S3_kJ_Q6,S3_kJ_Q7,S3_kcal_Q1,S3_kcal_Q2,S3_kcal_Q3,S3_kcal_Q4,S3_kcal_Q5,S3_kcal_Q6,S3_kcal_Q7,K_1,S4_ET_Q1,S4_ET_Q2,S4_ET_Q3,S4_ET_Q4,S4_ET_Q5,S4_ET_Q6,S4_ET_Q7,S4_ET_Q8,S4_ET_Q9,S4_ET_Q10,S4_EM_Q1,S4_EM_Q2,S4_EM_Q3,S4_EM_Q4,S4_EM_Q5,S4_EM_Q6,S4_EM_Q7,S4_EM_Q8,S4_EM_Q9,S4_EM_Q10,S4_AET_Q1,S4_AET_Q2,S4_AET_Q3,S4_AET_Q4,S4_AET_Q5,S4_AET_Q6,S4_AET_Q7,S4_AET_Q8,S4_AET_Q9,S4_AET_Q10,Kontrollfrage,S4_AEM_Q1,S4_AEM_Q2,S4_AEM_Q3,S4_AEM_Q4,S4_AEM_Q5,S4_AEM_Q6,S4_AEM_Q7,S4_AEM_Q8,S4_AEM_Q9,S4_AEM_Q10,K_2,Manipulation_Q1 _1,Interesse_Q1 _1,K_3,Feedback_Q1,Feedback_Q2,Feedback_Q3
GfnT4GGE7V,IP Address,99,408,FALSE,anonymous,EN,Ja,"Ja, ich stimme zu",Mandarine (222 kJ),Zweifel Vaya Bean Salt Chips (1779 kJ),Isey Skyr Heidelbeere (432 kJ),Zweifel Paprika Chips (2695 kJ),Mandarine (222 kJ),Schokopudding (502 kJ),Zweifel Paprika Chips (2147 kJ),NA,NA,NA,NA,NA,NA,NA,Blau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standardlieferung, 4 Monate, CHF 899.00","Expresslieferung, 1 Monat früher, CHF 1389.00","Expresslieferung, 1 Monat früher, CHF 1069.00","Standardlieferung, 2 Monate, CHF 499.00","Standardlieferung, 4 Monate, CHF 1199.00","Expresslieferung, 1 Monat früher, CHF 429.00","Standardlieferung, 3 Monate, CHF 1899.00","Standardlieferung, 4 Monate, CHF 1499.00","Standardlieferung, 6 Monate, CHF 999.00","Standardlieferung, 6 Monate, CHF 35'000.00",fliegen,teils/teils,teils/teils,2,Nein,Spontan,Nein
S7CkefkZLT,IP Address,99,497,FALSE,anonymous,EN,Ja,"Ja, ich stimme zu",NA,NA,NA,NA,NA,NA,NA,Snickers (488 kcal),Trauben (69 kcal),Lotus Biscoff Pocket Karamell (900 kcal),Banane (107 kcal),Mandarine (53 kcal),Schokopudding (120 kcal),Al Natura Linsenwaffeln (360 kcal),Blau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Expresslieferung, 2 Monate früher, CHF 969.00","Standardlieferung, 2 Monate, CHF 1299.00","Expresslieferung, 1 Monat früher, CHF 1069.00","Expresslieferung, 1 Monat früher, CHF 534.00","Expresslieferung, 2 Monate früher, CHF 1279.00","Standardlieferung, 2 Monate, CHF 399.00","Standardlieferung, 3 Monate, CHF 1899.00","Expresslieferung, 2 Monate früher, CHF 1619.00","Expresslieferung, 2 Monate früher, CHF 1089.00","Expresslieferung, 2 Monate früher, CHF 36'500.00",fliegen,eher wenig,teils/teils,2,Nein,"Anhand von
- Bedürfnis/Ziel/Notwendigkeit
- persönliche Präferenz
- Informationen (Kalorien, Preis)",NA
NzWRmdkijE,IP Address,100,394,TRUE,anonymous,EN,Ja,"Ja, ich stimme zu",NA,NA,NA,NA,NA,NA,NA,Mandarine (53 kcal),Zweifel Vaya Bean Salt Chips (424 kcal),Lotus Biscoff Pocket Karamell (900 kcal),Zweifel Paprika Chips (643 kcal),Kinder Bueno (560 kcal),Naturjoghurt (62 kcal),Zweifel Paprika Chips (515 kcal),Blau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Expresslieferung, 62 Tage früher, CHF 969.00","Standardlieferung, 62 Tage, CHF 1299.00","Expresslieferung, 31 Tage früher, CHF 1069.00","Expresslieferung, 31 Tage früher, CHF 534.00","Expresslieferung, 62 Tage früher, CHF 1279.00","Expresslieferung, 31 Tage früher, CHF 429.00","Standardlieferung, 93 Tage, CHF 1899.00","Standardlieferung, 124 Tage, CHF 1499.00","Expresslieferung, 62 Tage früher, CHF 1089.00","Standardlieferung, 186 Tage, CHF 35’000.00",In Tagen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fliegen,eher wenig,eher wichtig,2,Nein,NA,NA
z1j8IWA7oG,IP Address,100,757,TRUE,anonymous,EN,Ja,"Ja, ich stimme zu",Snickers (2042 kJ),Zweifel Vaya Bean Salt Chips (1779 kJ),Isey Skyr Heidelbeere (432 kJ),Banane (446 kJ),Mandarine (222 kJ),Schokopudding (502 kJ),Zweifel Paprika Chips (2147 kJ),NA,NA,NA,NA,NA,NA,NA,Blau,"Expresslieferung, 62 Tage früher, CHF 969.00","Expresslieferung, 31 Tage früher, CHF 1389.00","Standardlieferung, 62 Tage, CHF 999.00","Standardlieferung, 62 Tage, CHF 499.00","Expresslieferung, 62 Tage früher, CHF 1279.00","Standardlieferung, 62 Tage, CHF 399.00","Standardlieferung, 93 Tage, CHF 1899.00","Expresslieferung, 62 Tage früher, CHF 1619.00","Standardlieferung, 186 Tage, CHF 999.00","Standardlieferung, 186 Tage, CHF 35'000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fliegen,teils/teils,eher wichtig,2,Nein,". Ich habe darauf geachtet, ob ich die Dinge, die ich bestelle, dringend benötige oder ob ich gut warten kann, bis die Standardlieferung bei mir ankommt.",Die Resultate würden mich sehr interessieren.
UGj30yOHpW,IP Address,25,47,FALSE,anonymous,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ySXFfcQrye,IP Address,100,571,TRUE,anonymous,EN,Nein,"Ja, ich stimme zu",NA,NA,NA,NA,NA,NA,NA,Snickers (488 kcal),Trauben (69 kcal),Lotus Biscoff Pocket Karamell (900 kcal),Zweifel Paprika Chips (643 kcal),Kinder Bueno (560 kcal),Schokopudding (120 kcal),Zweifel Paprika Chips (515 kcal),Blau,"Standardlieferung, 124 Tage, CHF 899.00","Standardlieferung, 62 Tage, CHF 1299.00","Standardlieferung, 62 Tage, CHF 999.00","Standardlieferung, 62 Tage, CHF 499.00","Standardlieferung, 124 Tage, CHF 1199.00","Standardlieferung, 62 Tage, CHF 399.00","Standardlieferung, 93 Tage, CHF 1899.00","Standardlieferung, 124 Tage, CHF 1499.00","Expresslieferung, 62 Tage früher, CHF 1089.00","Standardlieferung, 186 Tage, CHF 35'000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fliegen,gar nicht,eher nicht wichtig,2,Nein,"Ich mag süss, ich mag Chips. Mein Gehirn entscheidet automatisch das Kaloriereichste zu nehmen. Ich möchte so wrnig Geld ausgeben wie möglich, werde einfach schauen, dass ich ein wenig im Voraus einkaufe.",NA
V9zVQ8UY6u,IP Address,100,308,TRUE,anonymous,EN,Ja,"Ja, ich stimme zu",NA,NA,NA,NA,NA,NA,NA,Snickers (488 kcal),Trauben (69 kcal),Lotus Biscoff Pocket Karamell (900 kcal),Banane (107 kcal),Kinder Bueno (560 kcal),Naturjoghurt (62 kcal),Al Natura Linsenwaffeln (360 kcal),Blau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Expresslieferung, 2 Monate früher, CHF 969.00","Expresslieferung, 1 Monat früher, CHF 1389.00","Expresslieferung, 1 Monat früher, CHF 1069.00","Expresslieferung, 1 Monat früher, CHF 534.00","Expresslieferung, 2 Monate früher, CHF 1279.00","Expresslieferung, 1 Monat früher, CHF 429.00","Standardlieferung, 3 Monate, CHF 1899.00","Standardlieferung, 4 Monate, CHF 1499.00","Expresslieferung, 2 Monate früher, CHF 1089.00","Standardlieferung, 6 Monate, CHF 35'000.00",fliegen,eher wenig,eher nicht wichtig,2,Nein,Ich warte nicht gern-Was ich gerne esse,Die Wartezeiten sind zu lang/unrealistisch
WmBNo8ofVw,IP Address,100,273,TRUE,anonymous,EN,Ja,"Ja, ich stimme zu",NA,NA,NA,NA,NA,NA,NA,Mandarine (53 kcal),Trauben (69 kcal),Lotus Biscoff Pocket Karamell (900 kcal),Zweifel Paprika Chips (643 kcal),Kinder Bueno (560 kcal),Schokopudding (120 kcal),Zweifel Paprika Chips (515 kcal),Blau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Expresslieferung, 2 Monate früher, CHF 969.00","Expresslieferung, 1 Monat früher, CHF 1389.00","Expresslieferung, 1 Monat früher, CHF 1069.00","Standardlieferung, 2 Monate, CHF 499.00","Expresslieferung, 2 Monate früher, CHF 1279.00","Standardlieferung, 2 Monate, CHF 399.00","Standardlieferung, 3 Monate, CHF 1899.00","Expresslieferung, 2 Monate früher, CHF 1619.00","Standardlieferung, 6 Monate, CHF 999.00","Expresslieferung, 2 Monate früher, CHF 36'500.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fliegen,gar nicht,teils/teils,2,Nein,was mir in diesem moment gegallen würde,nein
nuU8pwIiSi,IP Address,100,286,TRUE,anonymous,EN,Nein,"Ja, ich stimme zu",Snickers (2042 kJ),Trauben (289 kJ),Isey Skyr Heidelbeere (432 kJ),Zweifel Paprika Chips (2695 kJ),Kinder Bueno (2376 kJ),Schokopudding (502 kJ),Zweifel Paprika Chips (2147 kJ),NA,NA,NA,NA,NA,NA,NA,Blau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standardlieferung, 4 Monate, CHF 899.00","Standardlieferung, 2 Monate, CHF 1299.00","Expresslieferung, 1 Monat früher, CHF 1069.00","Standardlieferung, 2 Monate, CHF 499.00","Standardlieferung, 4 Monate, CHF 1199.00","Expresslieferung, 1 Monat früher, CHF 429.00","Standardlieferung, 3 Monate, CHF 1899.00","Standardlieferung, 4 Monate, CHF 1499.00","Expresslieferung, 2 Monate früher, CHF 1089.00","Standardlieferung, 6 Monate, CHF 35'000.00",fliegen,gar nicht,eher nicht wichtig,2,Nein,Nach Bedürfnis,NA
WwNzVs84Bb,IP Address,100,300,TRUE,anonymous,EN,Ja,"Ja, ich stimme zu",NA,NA,NA,NA,NA,NA,NA,Mandarine (53 kcal),Trauben (69 kcal),Lotus Biscoff Pocket Karamell (900 kcal),Banane (107 kcal),Mandarine (53 kcal),Naturjoghurt (62 kcal),Zweifel Paprika Chips (515 kcal),Blau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Expresslieferung, 2 Monate früher, CHF 969.00","Expresslieferung, 1 Monat früher, CHF 1389.00","Expresslieferung, 1 Monat früher, CHF 1069.00","Expresslieferung, 1 Monat früher, CHF 534.00","Expresslieferung, 2 Monate früher, CHF 1279.00","Expresslieferung, 1 Monat früher, CHF 429.00","Expresslieferung, 1 Monat früher, CHF 2019.00","Standardlieferung, 4 Monate, CHF 1499.00","Standardlieferung, 6 Monate, CHF 999.00","Expresslieferung, 2 Monate früher, CHF 36'500.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fliegen,gar nicht,eher nicht wichtig,2,Nein,Kurz und entschlossene,Bin gespannt auf die Auswertung
OZTbSTH0SW,IP Address,100,171688,TRUE,anonymous,EN,Ja,"Ja, ich stimme zu",NA,NA,NA,NA,NA,NA,NA,Mandarine (53 kcal),Zweifel Vaya Bean Salt Chips (424 kcal),NA,Banane (107 kcal),Mandarine (53 kcal),Naturjoghurt (62 kcal),Al Natura Linsenwaffeln (360 kcal),Blau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standardlieferung, 4 Monate, CHF 899.00","Standardlieferung, 2 Monate, CHF 1299.00","Standardlieferung, 2 Monate, CHF 999.00","Standardlieferung, 2 Monate, CHF 499.00","Standardlieferung, 4 Monate, CHF 1199.00","Standardlieferung, 2 Monate, CHF 399.00","Standardlieferung, 3 Monate, CHF 1899.00","Standardlieferung, 4 Monate, CHF 1499.00","Standardlieferung, 6 Monate, CHF 999.00","Standardlieferung, 6 Monate, CHF 35'000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fliegen,gar nicht,eher wichtig,2,Nein,"immer das leckere
immer das billige",das isch wohl die müehsamsti umfrog ever gsi
f6jJO3zwPd,IP Address,23,49,FALSE,anonymous,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9AMxuwDD0d,IP Address,100,506,TRUE,anonymous,EN,Ja,"Ja, ich stimme zu",NA,NA,NA,NA,NA,NA,NA,Mandarine (53 kcal),Zweifel Vaya Bean Salt Chips (424 kcal),Lotus Biscoff Pocket Karamell (900 kcal),Banane (107 kcal),Mandarine (53 kcal),Schokopudding (120 kcal),Zweifel Paprika Chips (515 kcal),Blau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standardlieferung, 124 Tage, CHF 899.00","Standardlieferung, 62 Tage, CHF 1299.00","Standardlieferung, 62 Tage, CHF 999.00","Standardlieferung, 62 Tage, CHF 499.00","Standardlieferung, 124 Tage, CHF 1199.00","Standardlieferung, 62 Tage, CHF 399.00","Standardlieferung, 93 Tage, CHF 1899.00","Standardlieferung, 124 Tage, CHF 1499.00","Standardlieferung, 186 Tage, CHF 999.00","Standardlieferung, 186 Tage, CHF 35’000.00",In Tagen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fliegen,gar nicht,teils/teils,2,Nein,"Preis/Leistung. Für mein Empfinden sehe hoche Preise und da würde ich niemals noch mehr ausgeben wenn ich es mit geduld vermeiden kann. (würde aber in meisten Sachen wohl nochmals Google nach anderen Angeboten, da eine solch grosse Preis Range für mich bedeuten würde dass es wohl bessere alternativen geben kännte).",NA
04K5SKJNzi,IP Address,100,3906,TRUE,anonymous,EN,NA,NA,NA,NA,NA,Zweifel Paprika Chips (2695 kJ),Mandarine (222 kJ),Naturjoghurt (260 kJ),Zweifel Paprika Chips (2147 kJ),NA,NA,NA,NA,NA,NA,NA,Blau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standardlieferung, 4 Monate, CHF 899.00","Expresslieferung, 1 Monat früher, CHF 1389.00","Standardlieferung, 2 Monate, CHF 999.00","Standardlieferung, 2 Monate, CHF 499.00","Expresslieferung, 2 Monate früher, CHF 1279.00","Expresslieferung, 1 Monat früher, CHF 429.00","Standardlieferung, 3 Monate, CHF 1899.00","Standardlieferung, 4 Monate, CHF 1499.00","Expresslieferung, 2 Monate früher, CHF 1089.00","Standardlieferung, 6 Monate, CHF 35'000.00",fliegen,gar nicht,eher wichtig,2,Nein,"Die Entscheidungen können bei diesem Fragebogen nicht realistisch getroffen werden. Bsp. Auto, bricht meine Karre gleich auseinander benötige ich schnell einen neuen. Wenn ich einfach das Auto wechseln möcht spielt die Zeit eine untergeordnete Rolle. Dasselbe mit Sofa, Bett usw.",NA
fWiW5vukC9,IP Address,100,347,TRUE,anonymous,EN,Ja,"Ja, ich stimme zu",NA,NA,NA,NA,NA,NA,NA,Snickers (488 kcal),Trauben (69 kcal),Isey Skyr Heidelbeere (129 kcal),Banane (107 kcal),Kinder Bueno (560 kcal),Naturjoghurt (62 kcal),Zweifel Paprika Chips (515 kcal),Blau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Expresslieferung, 62 Tage früher, CHF 969.00","Expresslieferung, 31 Tage früher, CHF 1389.00","Expresslieferung, 31 Tage früher, CHF 1069.00","Expresslieferung, 31 Tage früher, CHF 534.00","Expresslieferung, 62 Tage früher, CHF 1279.00","Expresslieferung, 31 Tage früher, CHF 429.00","Standardlieferung, 93 Tage, CHF 1899.00","Expresslieferung, 62 Tage früher, CHF 1619.00","Expresslieferung, 62 Tage früher, CHF 1089.00","Standardlieferung, 186 Tage, CHF 35’000.00",In Tagen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fliegen,eher wenig,teils/teils,2,Nein,"1. Auf das was ich lust hatte
2. Ungeduldig, meist so schnell wie möglich",NA
UvwR6y9gSZ,IP Address,100,310,TRUE,anonymous,EN,Ja,"Ja, ich stimme zu",NA,NA,NA,NA,NA,NA,NA,Mandarine (53 kcal),Zweifel Vaya Bean Salt Chips (424 kcal),Lotus Biscoff Pocket Karamell (900 kcal),Banane (107 kcal),Mandarine (53 kcal),Naturjoghurt (62 kcal),Al Natura Linsenwaffeln (360 kcal),Blau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standardlieferung, 4 Monate, CHF 899.00","Expresslieferung, 1 Monat früher, CHF 1389.00","Expresslieferung, 1 Monat früher, CHF 1069.00","Standardlieferung, 2 Monate, CHF 499.00","Standardlieferung, 4 Monate, CHF 1199.00","Expresslieferung, 1 Monat früher, CHF 429.00","Standardlieferung, 3 Monate, CHF 1899.00","Standardlieferung, 4 Monate, CHF 1499.00","Expresslieferung, 2 Monate früher, CHF 1089.00","Standardlieferung, 6 Monate, CHF 35'000.00",fliegen,eher wenig,teils/teils,2,Nein,"Das, was ich lieber esse und die Dringlichkeit das Produkt zu benutzen",NA
9ehusPKGXL,IP Address,100,230,TRUE,anonymous,EN,Nein,"Ja, ich stimme zu",NA,NA,NA,NA,NA,NA,NA,Mandarine (53 kcal),Zweifel Vaya Bean Salt Chips (424 kcal),Isey Skyr Heidelbeere (129 kcal),Zweifel Paprika Chips (643 kcal),Mandarine (53 kcal),Schokopudding (120 kcal),Zweifel Paprika Chips (515 kcal),Blau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standardlieferung, 4 Monate, CHF 899.00","Standardlieferung, 2 Monate, CHF 1299.00","Standardlieferung, 2 Monate, CHF 999.00","Standardlieferung, 2 Monate, CHF 499.00","Expresslieferung, 2 Monate früher, CHF 1279.00","Standardlieferung, 2 Monate, CHF 399.00","Standardlieferung, 3 Monate, CHF 1899.00","Expresslieferung, 2 Monate früher, CHF 1619.00","Standardlieferung, 6 Monate, CHF 999.00","Expresslieferung, 2 Monate früher, CHF 36'500.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fliegen,gar nicht,teils/teils,2,Nein,"Auf die Sachen, die wichtiger sind",NA
eTftfyoK5t,IP Address,100,374,TRUE,anonymous,EN,Ja,"Ja, ich stimme zu",Mandarine (222 kJ),Trauben (289 kJ),Isey Skyr Heidelbeere (432 kJ),Banane (446 kJ),Mandarine (222 kJ),Schokopudding (502 kJ),Al Natura Linsenwaffeln (1525 kJ),NA,NA,NA,NA,NA,NA,NA,Blau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Expresslieferung, 2 Monate früher, CHF 969.00","Standardlieferung, 2 Monate, CHF 1299.00","Standardlieferung, 2 Monate, CHF 999.00","Standardlieferung, 2 Monate, CHF 499.00","Standardlieferung, 4 Monate, CHF 1199.00","Standardlieferung, 2 Monate, CHF 399.00","Standardlieferung, 3 Monate, CHF 1899.00","Expresslieferung, 2 Monate früher, CHF 1619.00","Expresslieferung, 2 Monate früher, CHF 1089.00","Expresslieferung, 2 Monate früher, CHF 36'500.00",fliegen,teils/teils,eher wichtig,2,Nein,"Einige Antworten habe ich so gewählt, weil es bei der Lieferung auf die Dringlichkeit ankommt. Wenn ich etwas dringend brauche, wähle ich Expressversand, sonst Standard. Daher waren die Antwortoptionen für mich nicht optimal.","Einige Antworten habe ich so gewählt, weil es bei der Lieferung auf die Dringlichkeit ankommt. Wenn ich etwas dringend brauche, wähle ich Expressversand, sonst Standard. Daher waren die Antwortoptionen für mich nicht optimal."
f6wicmqzy7,IP Address,100,320,TRUE,anonymous,EN,Ja,"Ja, ich stimme zu",Mandarine (222 kJ),Trauben (289 kJ),Isey Skyr Heidelbeere (432 kJ),Zweifel Paprika Chips (2695 kJ),Kinder Bueno (2376 kJ),Schokopudding (502 kJ),Zweifel Paprika Chips (2147 kJ),NA,NA,NA,NA,NA,NA,NA,Blau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Expresslieferung, 62 Tage früher, CHF 969.00","Standardlieferung, 62 Tage, CHF 1299.00","Expresslieferung, 31 Tage früher, CHF 1069.00","Standardlieferung, 62 Tage, CHF 499.00","Expresslieferung, 62 Tage früher, CHF 1279.00","Standardlieferung, 62 Tage, CHF 399.00","Expresslieferung, 31 Tage früher, CHF 2019.00","Standardlieferung, 124 Tage, CHF 1499.00","Expresslieferung, 62 Tage früher, CHF 1089.00","Expresslieferung, 62 Tage früher, CHF 36’500.00",In Tagen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fliegen,teils/teils,eher wichtig,2,Nein,"ob dringend oder nicht bezüglich Daten, was ich gerade lieber möchte beim Essen",NA
JOFQHLm9GQ,IP Address,100,135,TRUE,anonymous,EN,Ja,"Ja, ich stimme zu",NA,NA,NA,NA,NA,NA,NA,Snickers (488 kcal),Zweifel Vaya Bean Salt Chips (424 kcal),Lotus Biscoff Pocket Karamell (900 kcal),Zweifel Paprika Chips (643 kcal),Kinder Bueno (560 kcal),Schokopudding (120 kcal),Zweifel Paprika Chips (515 kcal),Blau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standardlieferung, 4 Monate, CHF 899.00","Standardlieferung, 2 Monate, CHF 1299.00","Expresslieferung, 1 Monat früher, CHF 1069.00","Standardlieferung, 2 Monate, CHF 499.00","Standardlieferung, 4 Monate, CHF 1199.00","Standardlieferung, 2 Monate, CHF 399.00","Standardlieferung, 3 Monate, CHF 1899.00","Standardlieferung, 4 Monate, CHF 1499.00","Expresslieferung, 2 Monate früher, CHF 1089.00","Standardlieferung, 6 Monate, CHF 35'000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fliegen,gar nicht,teils/teils,2,Nein,NA,NA
YN2B8e8gFD,IP Address,1,88,FALSE,anonymous,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LoxIRx4aqa,IP Address,100,390,TRUE,anonymous,EN,Ja,"Ja, ich stimme zu",NA,NA,NA,NA,NA,NA,NA,Snickers (488 kcal),Trauben (69 kcal),Lotus Biscoff Pocket Karamell (900 kcal),Zweifel Paprika Chips (643 kcal),Kinder Bueno (560 kcal),Schokopudding (120 kcal),Zweifel Paprika Chips (515 kcal),Blau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Expresslieferung, 2 Monate früher, CHF 969.00","Expresslieferung, 1 Monat früher, CHF 1389.00","Expresslieferung, 1 Monat früher, CHF 1069.00","Expresslieferung, 1 Monat früher, CHF 534.00","Expresslieferung, 2 Monate früher, CHF 1279.00","Expresslieferung, 1 Monat früher, CHF 429.00","Standardlieferung, 3 Monate, CHF 1899.00","Expresslieferung, 2 Monate früher, CHF 1619.00","Expresslieferung, 2 Monate früher, CHF 1089.00","Standardlieferung, 6 Monate, CHF 35'000.00",fliegen,gar nicht,eher wichtig,2,Nein,Beim den Snacks: Intuition auf was ich gerade mehr Lust hätte. Bei den Bestellungen eher abgewogen ob ich für das entsprechende Produkt warten würde oder nicht.,-
9wXsGXieYB,IP Address,100,502,TRUE,anonymous,EN,Ja,"Ja, ich stimme zu",Mandarine (222 kJ),Trauben (289 kJ),Isey Skyr Heidelbeere (432 kJ),Banane (446 kJ),Mandarine (222 kJ),Schokopudding (502 kJ),Zweifel Paprika Chips (2147 kJ),NA,NA,NA,NA,NA,NA,NA,Blau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Expresslieferung, 62 Tage früher, CHF 969.00","Standardlieferung, 62 Tage, CHF 1299.00","Expresslieferung, 31 Tage früher, CHF 1069.00","Standardlieferung, 62 Tage, CHF 499.00","Standardlieferung, 124 Tage, CHF 1199.00","Standardlieferung, 62 Tage, CHF 399.00","Standardlieferung, 93 Tage, CHF 1899.00","Standardlieferung, 124 Tage, CHF 1499.00","Standardlieferung, 186 Tage, CHF 999.00","Expresslieferung, 62 Tage früher, CHF 36’500.00",In Tagen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fliegen,teils/teils,eher wichtig,2,Nein,"Nach Kalorien, Preis, Wert","Bei der ersten Frage, wo es um die Energie geht - ist nicht auf den ersten Blick klar, dass es um die Kalorien geht. Eventuell Frage direkt nach den Lebensmitteln stellen. Bei den materiellen Käufen (Sofa, Madratze, Kamera, Handy) fallen Entscheidungen bei mir je nach Dringlichkeit aus. Wenn das Handy defekt ist, würde ich eher auf die Expresslieferung ausweichen. Hingegen wenn ich mir einfach das neue Iphone gönnen will, ist es egal, wenn die Lieferung später kommt. Aus diesem Grund finde ich diese Entscheidungsfragen kann man nicht grundsätzlich beantworten - es kommt auf die aktuelle Situation an."
