task,condition,test,number_id,value,id,target,set,label,range_min,range_max,Unique_ID,ID
Geographie,Round,Question,1,40000,5,40000,1,41285,37156.5,45413.5,5 1 Round,wXSeLbuXVE
Geographie,Round,Question,2,7000,5,7000,1,7105,6394.5,7815.5,5 2 Round,wXSeLbuXVE
Arbeitslosigkeit,Round,Question,1,95000,3,90000,1,89881,80892.9,98869.1,3 1 Round,wXSeLbuXVE
Arbeitslosigkeit,Round,Question,2,500,3,2500,1,2280,2052,2508,3 2 Round,wXSeLbuXVE
Urteile,Round,Question,1,100000,4,100000,1,103156,92840.4,113471.6,4 1 Round,wXSeLbuXVE
Urteile,Round,Question,2,2000,4,2000,1,1945,1750.5,2139.5,4 2 Round,wXSeLbuXVE
Geographie,Round,Test,1,5,5,17.5,1,17.2,15.48,18.92,5 1 Round,wXSeLbuXVE
Arbeitslosigkeit,Round,Test,1,0,3,2.8,1,2.5,2.25,2.75,3 1 Round,wXSeLbuXVE
Urteile,Round,Test,1,2,4,2,1,1.9,1.71,2.09,4 1 Round,wXSeLbuXVE
Gotthardtunnel,Round,Question,1,17000,2,17000,2,16942,15247.8,18636.2,2 1 Round,HjpEQsxEP4
Gotthardtunnel,Round,Question,2,2000,2,2300,2,2257,2031.3,2482.7,2 2 Round,HjpEQsxEP4
Umsatzlöhne,Round,Question,1,17000,6,17000,2,16553,14897.7,18208.3,6 1 Round,HjpEQsxEP4
Umsatzlöhne,Round,Question,2,4000,6,4000,2,3750,3375,4125,6 2 Round,HjpEQsxEP4
Arztpraxen,Round,Question,1,25000,1,25000,2,25439,22895.1,27982.9,1 1 Round,HjpEQsxEP4
Arztpraxen,Round,Question,2,5000,1,19000,2,19004,17103.6,20904.4,1 2 Round,HjpEQsxEP4
Gotthardtunnel,Round,Test,1,25,2,13.5,2,13.3,11.97,14.63,2 1 Round,HjpEQsxEP4
Umsatzlöhne,Round,Test,1,25,6,23.5,2,22.7,20.43,24.97,6 1 Round,HjpEQsxEP4
Arztpraxen,Round,Test,1,10,1,76,2,74.7,67.23,82.17,1 1 Round,HjpEQsxEP4
Geographie,Precise,Question,1,41900,5,41285,1,41285,37156.5,45413.5,5 1 Precise,zz7g0OppkB
Geographie,Precise,Question,2,7000,5,7105,1,7105,6394.5,7815.5,5 2 Precise,zz7g0OppkB
Arbeitslosigkeit,Precise,Question,1,89000,3,89881,1,89881,80892.9,98869.1,3 1 Precise,zz7g0OppkB
Arbeitslosigkeit,Precise,Question,2,0,3,2280,1,2280,2052,2508,3 2 Precise,zz7g0OppkB
Urteile,Precise,Question,1,70000,4,103156,1,103156,92840.4,113471.6,4 1 Precise,zz7g0OppkB
Urteile,Precise,Question,2,2000,4,1945,1,1945,1750.5,2139.5,4 2 Precise,zz7g0OppkB
Geographie,Precise,Test,1,16,5,17.2,1,17.2,15.48,18.92,5 1 Precise,zz7g0OppkB
Arbeitslosigkeit,Precise,Test,1,0,3,2.5,1,2.5,2.25,2.75,3 1 Precise,zz7g0OppkB
Urteile,Precise,Test,1,1,4,1.9,1,1.9,1.71,2.09,4 1 Precise,zz7g0OppkB
Geographie,Round,Question,1,40000,5,40000,1,41285,37156.5,45413.5,5 1 Round,oLHXcNpDrc
Geographie,Round,Question,2,5000,5,7000,1,7105,6394.5,7815.5,5 2 Round,oLHXcNpDrc
Arbeitslosigkeit,Round,Question,1,100000,3,90000,1,89881,80892.9,98869.1,3 1 Round,oLHXcNpDrc
Arbeitslosigkeit,Round,Question,2,1000,3,2500,1,2280,2052,2508,3 2 Round,oLHXcNpDrc
Urteile,Round,Question,1,100000,4,100000,1,103156,92840.4,113471.6,4 1 Round,oLHXcNpDrc
Urteile,Round,Question,2,100000,4,2000,1,1945,1750.5,2139.5,4 2 Round,oLHXcNpDrc
Geographie,Round,Test,1,20,5,17.5,1,17.2,15.48,18.92,5 1 Round,oLHXcNpDrc
Arbeitslosigkeit,Round,Test,1,5,3,2.8,1,2.5,2.25,2.75,3 1 Round,oLHXcNpDrc
Urteile,Round,Test,1,10,4,2,1,1.9,1.71,2.09,4 1 Round,oLHXcNpDrc
Gotthardtunnel,Round,Question,1,17000,2,17000,2,16942,15247.8,18636.2,2 1 Round,EHooteN6m3
Gotthardtunnel,Round,Question,2,2074,2,2300,2,2257,2031.3,2482.7,2 2 Round,EHooteN6m3
Umsatzlöhne,Round,Question,1,17000,6,17000,2,16553,14897.7,18208.3,6 1 Round,EHooteN6m3
Umsatzlöhne,Round,Question,2,4000,6,4000,2,3750,3375,4125,6 2 Round,EHooteN6m3
Arztpraxen,Round,Question,1,24000,1,25000,2,25439,22895.1,27982.9,1 1 Round,EHooteN6m3
Arztpraxen,Round,Question,2,400,1,19000,2,19004,17103.6,20904.4,1 2 Round,EHooteN6m3
Gotthardtunnel,Round,Test,1,20,2,13.5,2,13.3,11.97,14.63,2 1 Round,EHooteN6m3
Umsatzlöhne,Round,Test,1,25,6,23.5,2,22.7,20.43,24.97,6 1 Round,EHooteN6m3
Arztpraxen,Round,Test,1,25,1,76,2,74.7,67.23,82.17,1 1 Round,EHooteN6m3
Gotthardtunnel,Precise,Question,1,16854,2,16942,2,16942,15247.8,18636.2,2 1 Precise,cXrVIkDqSH
Gotthardtunnel,Precise,Question,2,2210,2,2257,2,2257,2031.3,2482.7,2 2 Precise,cXrVIkDqSH
Umsatzlöhne,Precise,Question,1,16553,6,16553,2,16553,14897.7,18208.3,6 1 Precise,cXrVIkDqSH
Umsatzlöhne,Precise,Question,2,3750,6,3750,2,3750,3375,4125,6 2 Precise,cXrVIkDqSH
Arztpraxen,Precise,Question,1,21450,1,25439,2,25439,22895.1,27982.9,1 1 Precise,cXrVIkDqSH
Arztpraxen,Precise,Question,2,14500,1,19004,2,19004,17103.6,20904.4,1 2 Precise,cXrVIkDqSH
Umsatzlöhne,Precise,Test,1,22,6,22.7,2,22.7,20.43,24.97,6 1 Precise,cXrVIkDqSH
Arztpraxen,Precise,Test,1,70,1,74.7,2,74.7,67.23,82.17,1 1 Precise,cXrVIkDqSH
Gotthardtunnel,Round,Question,1,5200,2,17000,2,16942,15247.8,18636.2,2 1 Round,zW9sy418v7
Gotthardtunnel,Round,Question,2,235,2,2300,2,2257,2031.3,2482.7,2 2 Round,zW9sy418v7
Umsatzlöhne,Round,Question,1,14000,6,17000,2,16553,14897.7,18208.3,6 1 Round,zW9sy418v7
Umsatzlöhne,Round,Question,2,4000,6,4000,2,3750,3375,4125,6 2 Round,zW9sy418v7
Arztpraxen,Round,Question,1,38,1,25000,2,25439,22895.1,27982.9,1 1 Round,zW9sy418v7
Arztpraxen,Round,Question,2,590,1,19000,2,19004,17103.6,20904.4,1 2 Round,zW9sy418v7
Gotthardtunnel,Round,Test,1,25,2,13.5,2,13.3,11.97,14.63,2 1 Round,zW9sy418v7
Umsatzlöhne,Round,Test,1,30,6,23.5,2,22.7,20.43,24.97,6 1 Round,zW9sy418v7
Arztpraxen,Round,Test,1,80,1,76,2,74.7,67.23,82.17,1 1 Round,zW9sy418v7
Geographie,Precise,Question,1,41000,5,41285,1,41285,37156.5,45413.5,5 1 Precise,QQXjsef6Bx
Geographie,Precise,Question,2,7100,5,7105,1,7105,6394.5,7815.5,5 2 Precise,QQXjsef6Bx
Arbeitslosigkeit,Precise,Question,1,90000,3,89881,1,89881,80892.9,98869.1,3 1 Precise,QQXjsef6Bx
Arbeitslosigkeit,Precise,Question,2,2200,3,2280,1,2280,2052,2508,3 2 Precise,QQXjsef6Bx
Urteile,Precise,Question,1,420,4,103156,1,103156,92840.4,113471.6,4 1 Precise,QQXjsef6Bx
Urteile,Precise,Question,2,10,4,1945,1,1945,1750.5,2139.5,4 2 Precise,QQXjsef6Bx
Geographie,Precise,Test,1,20,5,17.2,1,17.2,15.48,18.92,5 1 Precise,QQXjsef6Bx
Arbeitslosigkeit,Precise,Test,1,10,3,2.5,1,2.5,2.25,2.75,3 1 Precise,QQXjsef6Bx
Urteile,Precise,Test,1,3,4,1.9,1,1.9,1.71,2.09,4 1 Precise,QQXjsef6Bx
Geographie,Round,Question,1,100000,5,40000,1,41285,37156.5,45413.5,5 1 Round,A6m50vIrb3
Geographie,Round,Question,2,5600,5,7000,1,7105,6394.5,7815.5,5 2 Round,A6m50vIrb3
Arbeitslosigkeit,Round,Question,1,600000,3,90000,1,89881,80892.9,98869.1,3 1 Round,A6m50vIrb3
Arbeitslosigkeit,Round,Question,2,2500,3,2500,1,2280,2052,2508,3 2 Round,A6m50vIrb3
Urteile,Round,Question,1,300000,4,100000,1,103156,92840.4,113471.6,4 1 Round,A6m50vIrb3
Urteile,Round,Question,2,300,4,2000,1,1945,1750.5,2139.5,4 2 Round,A6m50vIrb3
Geographie,Round,Test,1,8,5,17.5,1,17.2,15.48,18.92,5 1 Round,A6m50vIrb3
Arbeitslosigkeit,Round,Test,1,2,3,2.8,1,2.5,2.25,2.75,3 1 Round,A6m50vIrb3
Urteile,Round,Test,1,3,4,2,1,1.9,1.71,2.09,4 1 Round,A6m50vIrb3
Gotthardtunnel,Precise,Question,1,17000,2,16942,2,16942,15247.8,18636.2,2 1 Precise,qcPafgNnRo
Gotthardtunnel,Precise,Question,2,17000,2,2257,2,2257,2031.3,2482.7,2 2 Precise,qcPafgNnRo
Umsatzlöhne,Precise,Question,1,16800,6,16553,2,16553,14897.7,18208.3,6 1 Precise,qcPafgNnRo
Umsatzlöhne,Precise,Question,2,3750,6,3750,2,3750,3375,4125,6 2 Precise,qcPafgNnRo
Arztpraxen,Precise,Question,1,25000,1,25439,2,25439,22895.1,27982.9,1 1 Precise,qcPafgNnRo
Arztpraxen,Precise,Question,2,19000,1,19004,2,19004,17103.6,20904.4,1 2 Precise,qcPafgNnRo
Umsatzlöhne,Precise,Test,1,25,6,22.7,2,22.7,20.43,24.97,6 1 Precise,qcPafgNnRo
Arztpraxen,Precise,Test,1,60,1,74.7,2,74.7,67.23,82.17,1 1 Precise,qcPafgNnRo
Geographie,Precise,Question,1,41285,5,41285,1,41285,37156.5,45413.5,5 1 Precise,45a6SuZDeg
Geographie,Precise,Question,2,7105,5,7105,1,7105,6394.5,7815.5,5 2 Precise,45a6SuZDeg
Arbeitslosigkeit,Precise,Question,1,88921,3,89881,1,89881,80892.9,98869.1,3 1 Precise,45a6SuZDeg
Arbeitslosigkeit,Precise,Question,2,1945,3,2280,1,2280,2052,2508,3 2 Precise,45a6SuZDeg
Urteile,Precise,Question,1,103087,4,103156,1,103156,92840.4,113471.6,4 1 Precise,45a6SuZDeg
Urteile,Precise,Question,2,1945,4,1945,1,1945,1750.5,2139.5,4 2 Precise,45a6SuZDeg
Geographie,Precise,Test,1,14,5,17.2,1,17.2,15.48,18.92,5 1 Precise,45a6SuZDeg
Arbeitslosigkeit,Precise,Test,1,5,3,2.5,1,2.5,2.25,2.75,3 1 Precise,45a6SuZDeg
Urteile,Precise,Test,1,1,4,1.9,1,1.9,1.71,2.09,4 1 Precise,45a6SuZDeg
Geographie,Round,Question,1,400000,5,40000,1,41285,37156.5,45413.5,5 1 Round,EX87L4SqAe
Geographie,Round,Question,2,70000,5,7000,1,7105,6394.5,7815.5,5 2 Round,EX87L4SqAe
Arbeitslosigkeit,Round,Question,1,90000,3,90000,1,89881,80892.9,98869.1,3 1 Round,EX87L4SqAe
Arbeitslosigkeit,Round,Question,2,10000,3,2500,1,2280,2052,2508,3 2 Round,EX87L4SqAe
Urteile,Round,Question,1,100000,4,100000,1,103156,92840.4,113471.6,4 1 Round,EX87L4SqAe
Urteile,Round,Question,2,2000,4,2000,1,1945,1750.5,2139.5,4 2 Round,EX87L4SqAe
Geographie,Round,Test,1,18,5,17.5,1,17.2,15.48,18.92,5 1 Round,EX87L4SqAe
Arbeitslosigkeit,Round,Test,1,10,3,2.8,1,2.5,2.25,2.75,3 1 Round,EX87L4SqAe
Urteile,Round,Test,1,2,4,2,1,1.9,1.71,2.09,4 1 Round,EX87L4SqAe
Gotthardtunnel,Precise,Question,1,17000,2,16942,2,16942,15247.8,18636.2,2 1 Precise,PNirvlqsrb
Gotthardtunnel,Precise,Question,2,2200,2,2257,2,2257,2031.3,2482.7,2 2 Precise,PNirvlqsrb
Umsatzlöhne,Precise,Question,1,16000,6,16553,2,16553,14897.7,18208.3,6 1 Precise,PNirvlqsrb
Umsatzlöhne,Precise,Question,2,3750,6,3750,2,3750,3375,4125,6 2 Precise,PNirvlqsrb
Arztpraxen,Precise,Question,1,17067,1,25439,2,25439,22895.1,27982.9,1 1 Precise,PNirvlqsrb
Arztpraxen,Precise,Question,2,25,1,19004,2,19004,17103.6,20904.4,1 2 Precise,PNirvlqsrb
Umsatzlöhne,Precise,Test,1,25,6,22.7,2,22.7,20.43,24.97,6 1 Precise,PNirvlqsrb
Arztpraxen,Precise,Test,1,25,1,74.7,2,74.7,67.23,82.17,1 1 Precise,PNirvlqsrb
Gotthardtunnel,Round,Question,1,17000,2,17000,2,16942,15247.8,18636.2,2 1 Round,mhisRCpcRn
Gotthardtunnel,Round,Question,2,230,2,2300,2,2257,2031.3,2482.7,2 2 Round,mhisRCpcRn
Umsatzlöhne,Round,Question,1,18000,6,17000,2,16553,14897.7,18208.3,6 1 Round,mhisRCpcRn
Umsatzlöhne,Round,Question,2,4000,6,4000,2,3750,3375,4125,6 2 Round,mhisRCpcRn
Arztpraxen,Round,Question,1,450000,1,25000,2,25439,22895.1,27982.9,1 1 Round,mhisRCpcRn
Arztpraxen,Round,Question,2,30000,1,19000,2,19004,17103.6,20904.4,1 2 Round,mhisRCpcRn
Gotthardtunnel,Round,Test,1,23,2,13.5,2,13.3,11.97,14.63,2 1 Round,mhisRCpcRn
Umsatzlöhne,Round,Test,1,15,6,23.5,2,22.7,20.43,24.97,6 1 Round,mhisRCpcRn
Arztpraxen,Round,Test,1,30,1,76,2,74.7,67.23,82.17,1 1 Round,mhisRCpcRn
Gotthardtunnel,Round,Question,1,17000,2,17000,2,16942,15247.8,18636.2,2 1 Round,7A2pVwK8xh
Gotthardtunnel,Round,Question,2,17030,2,2300,2,2257,2031.3,2482.7,2 2 Round,7A2pVwK8xh
Umsatzlöhne,Round,Question,1,16000,6,17000,2,16553,14897.7,18208.3,6 1 Round,7A2pVwK8xh
Umsatzlöhne,Round,Question,2,4000,6,4000,2,3750,3375,4125,6 2 Round,7A2pVwK8xh
Arztpraxen,Round,Question,1,2500,1,25000,2,25439,22895.1,27982.9,1 1 Round,7A2pVwK8xh
Arztpraxen,Round,Question,2,100,1,19000,2,19004,17103.6,20904.4,1 2 Round,7A2pVwK8xh
Gotthardtunnel,Round,Test,1,15,2,13.5,2,13.3,11.97,14.63,2 1 Round,7A2pVwK8xh
Umsatzlöhne,Round,Test,1,25,6,23.5,2,22.7,20.43,24.97,6 1 Round,7A2pVwK8xh
Arztpraxen,Round,Test,1,20,1,76,2,74.7,67.23,82.17,1 1 Round,7A2pVwK8xh
Gotthardtunnel,Precise,Question,1,19278,2,16942,2,16942,15247.8,18636.2,2 1 Precise,jWcyzZXzdl
Gotthardtunnel,Precise,Question,2,2002,2,2257,2,2257,2031.3,2482.7,2 2 Precise,jWcyzZXzdl
Umsatzlöhne,Precise,Question,1,16834,6,16553,2,16553,14897.7,18208.3,6 1 Precise,jWcyzZXzdl
Umsatzlöhne,Precise,Question,2,3750,6,3750,2,3750,3375,4125,6 2 Precise,jWcyzZXzdl
Arztpraxen,Precise,Question,1,19002,1,25439,2,25439,22895.1,27982.9,1 1 Precise,jWcyzZXzdl
Arztpraxen,Precise,Question,2,10000,1,19004,2,19004,17103.6,20904.4,1 2 Precise,jWcyzZXzdl
Gotthardtunnel,Precise,Test,1,12,2,13.3,2,13.3,11.97,14.63,2 1 Precise,jWcyzZXzdl
Umsatzlöhne,Precise,Test,1,25,6,22.7,2,22.7,20.43,24.97,6 1 Precise,jWcyzZXzdl
Arztpraxen,Precise,Test,1,70,1,74.7,2,74.7,67.23,82.17,1 1 Precise,jWcyzZXzdl
Geographie,Precise,Question,1,41000,5,41285,1,41285,37156.5,45413.5,5 1 Precise,eiNi41x2NT
Geographie,Precise,Question,2,7100,5,7105,1,7105,6394.5,7815.5,5 2 Precise,eiNi41x2NT
Arbeitslosigkeit,Precise,Question,1,2000,3,89881,1,89881,80892.9,98869.1,3 1 Precise,eiNi41x2NT
Arbeitslosigkeit,Precise,Question,2,20,3,2280,1,2280,2052,2508,3 2 Precise,eiNi41x2NT
Urteile,Precise,Question,1,38000,4,103156,1,103156,92840.4,113471.6,4 1 Precise,eiNi41x2NT
Urteile,Precise,Question,2,2000,4,1945,1,1945,1750.5,2139.5,4 2 Precise,eiNi41x2NT
Geographie,Precise,Test,1,20,5,17.2,1,17.2,15.48,18.92,5 1 Precise,eiNi41x2NT
Arbeitslosigkeit,Precise,Test,1,1,3,2.5,1,2.5,2.25,2.75,3 1 Precise,eiNi41x2NT
Urteile,Precise,Test,1,3,4,1.9,1,1.9,1.71,2.09,4 1 Precise,eiNi41x2NT
Geographie,Round,Question,1,40000,5,40000,1,41285,37156.5,45413.5,5 1 Round,yyP9tTfrzy
Geographie,Round,Question,2,7000,5,7000,1,7105,6394.5,7815.5,5 2 Round,yyP9tTfrzy
Arbeitslosigkeit,Round,Question,1,91000,3,90000,1,89881,80892.9,98869.1,3 1 Round,yyP9tTfrzy
Arbeitslosigkeit,Round,Question,2,2500,3,2500,1,2280,2052,2508,3 2 Round,yyP9tTfrzy
Urteile,Round,Question,1,12000,4,100000,1,103156,92840.4,113471.6,4 1 Round,yyP9tTfrzy
Urteile,Round,Question,2,3000,4,2000,1,1945,1750.5,2139.5,4 2 Round,yyP9tTfrzy
Geographie,Round,Test,1,22,5,17.5,1,17.2,15.48,18.92,5 1 Round,yyP9tTfrzy
Arbeitslosigkeit,Round,Test,1,10,3,2.8,1,2.5,2.25,2.75,3 1 Round,yyP9tTfrzy
Urteile,Round,Test,1,25,4,2,1,1.9,1.71,2.09,4 1 Round,yyP9tTfrzy
Gotthardtunnel,Precise,Question,1,16000,2,16942,2,16942,15247.8,18636.2,2 1 Precise,hq0ZqRPaGa
Gotthardtunnel,Precise,Question,2,17000,2,2257,2,2257,2031.3,2482.7,2 2 Precise,hq0ZqRPaGa
Umsatzlöhne,Precise,Question,1,8000,6,16553,2,16553,14897.7,18208.3,6 1 Precise,hq0ZqRPaGa
Umsatzlöhne,Precise,Question,2,3000,6,3750,2,3750,3375,4125,6 2 Precise,hq0ZqRPaGa
Arztpraxen,Precise,Question,1,21000,1,25439,2,25439,22895.1,27982.9,1 1 Precise,hq0ZqRPaGa
Arztpraxen,Precise,Question,2,19000,1,19004,2,19004,17103.6,20904.4,1 2 Precise,hq0ZqRPaGa
Gotthardtunnel,Precise,Test,1,20,2,13.3,2,13.3,11.97,14.63,2 1 Precise,hq0ZqRPaGa
Umsatzlöhne,Precise,Test,1,56,6,22.7,2,22.7,20.43,24.97,6 1 Precise,hq0ZqRPaGa
Arztpraxen,Precise,Test,1,70,1,74.7,2,74.7,67.23,82.17,1 1 Precise,hq0ZqRPaGa
Geographie,Round,Question,1,40000,5,40000,1,41285,37156.5,45413.5,5 1 Round,dfKf0NXbBp
Geographie,Round,Question,2,7000,5,7000,1,7105,6394.5,7815.5,5 2 Round,dfKf0NXbBp
Arbeitslosigkeit,Round,Question,1,70000,3,90000,1,89881,80892.9,98869.1,3 1 Round,dfKf0NXbBp
Arbeitslosigkeit,Round,Question,2,1000,3,2500,1,2280,2052,2508,3 2 Round,dfKf0NXbBp
Urteile,Round,Question,1,100000,4,100000,1,103156,92840.4,113471.6,4 1 Round,dfKf0NXbBp
Urteile,Round,Question,2,5000,4,2000,1,1945,1750.5,2139.5,4 2 Round,dfKf0NXbBp
Geographie,Round,Test,1,20,5,17.5,1,17.2,15.48,18.92,5 1 Round,dfKf0NXbBp
Arbeitslosigkeit,Round,Test,1,1,3,2.8,1,2.5,2.25,2.75,3 1 Round,dfKf0NXbBp
Urteile,Round,Test,1,5,4,2,1,1.9,1.71,2.09,4 1 Round,dfKf0NXbBp
Gotthardtunnel,Round,Question,1,17000,2,17000,2,16942,15247.8,18636.2,2 1 Round,qbZdo1bXdl
Gotthardtunnel,Round,Question,2,2300,2,2300,2,2257,2031.3,2482.7,2 2 Round,qbZdo1bXdl
Umsatzlöhne,Round,Question,1,12000,6,17000,2,16553,14897.7,18208.3,6 1 Round,qbZdo1bXdl
Umsatzlöhne,Round,Question,2,4000,6,4000,2,3750,3375,4125,6 2 Round,qbZdo1bXdl
Arztpraxen,Round,Question,1,25000,1,25000,2,25439,22895.1,27982.9,1 1 Round,qbZdo1bXdl
Arztpraxen,Round,Question,2,18000,1,19000,2,19004,17103.6,20904.4,1 2 Round,qbZdo1bXdl
Gotthardtunnel,Round,Test,1,15,2,13.5,2,13.3,11.97,14.63,2 1 Round,qbZdo1bXdl
Umsatzlöhne,Round,Test,1,33,6,23.5,2,22.7,20.43,24.97,6 1 Round,qbZdo1bXdl
Arztpraxen,Round,Test,1,80,1,76,2,74.7,67.23,82.17,1 1 Round,qbZdo1bXdl
Geographie,Round,Question,1,40000,5,40000,1,41285,37156.5,45413.5,5 1 Round,F9w88hMkes
Geographie,Round,Question,2,9000,5,7000,1,7105,6394.5,7815.5,5 2 Round,F9w88hMkes
Arbeitslosigkeit,Round,Question,1,10000,3,90000,1,89881,80892.9,98869.1,3 1 Round,F9w88hMkes
Arbeitslosigkeit,Round,Question,2,7000,3,2500,1,2280,2052,2508,3 2 Round,F9w88hMkes
Urteile,Round,Question,1,15000,4,100000,1,103156,92840.4,113471.6,4 1 Round,F9w88hMkes
Urteile,Round,Question,2,47,4,2000,1,1945,1750.5,2139.5,4 2 Round,F9w88hMkes
Geographie,Round,Test,1,18,5,17.5,1,17.2,15.48,18.92,5 1 Round,F9w88hMkes
Arbeitslosigkeit,Round,Test,1,35,3,2.8,1,2.5,2.25,2.75,3 1 Round,F9w88hMkes
Urteile,Round,Test,1,10,4,2,1,1.9,1.71,2.09,4 1 Round,F9w88hMkes
Gotthardtunnel,Precise,Question,1,16900,2,16942,2,16942,15247.8,18636.2,2 1 Precise,1MHsUGtrzT
Gotthardtunnel,Precise,Question,2,2200,2,2257,2,2257,2031.3,2482.7,2 2 Precise,1MHsUGtrzT
Umsatzlöhne,Precise,Question,1,16000,6,16553,2,16553,14897.7,18208.3,6 1 Precise,1MHsUGtrzT
Umsatzlöhne,Precise,Question,2,3800,6,3750,2,3750,3375,4125,6 2 Precise,1MHsUGtrzT
Arztpraxen,Precise,Question,1,26000,1,25439,2,25439,22895.1,27982.9,1 1 Precise,1MHsUGtrzT
Arztpraxen,Precise,Question,2,19000,1,19004,2,19004,17103.6,20904.4,1 2 Precise,1MHsUGtrzT
Gotthardtunnel,Precise,Test,1,20,2,13.3,2,13.3,11.97,14.63,2 1 Precise,1MHsUGtrzT
Umsatzlöhne,Precise,Test,1,25,6,22.7,2,22.7,20.43,24.97,6 1 Precise,1MHsUGtrzT
Arztpraxen,Precise,Test,1,80,1,74.7,2,74.7,67.23,82.17,1 1 Precise,1MHsUGtrzT
Geographie,Precise,Question,1,41000,5,41285,1,41285,37156.5,45413.5,5 1 Precise,OOtcKc3l2q
Geographie,Precise,Question,2,7100,5,7105,1,7105,6394.5,7815.5,5 2 Precise,OOtcKc3l2q
Arbeitslosigkeit,Precise,Question,1,9800,3,89881,1,89881,80892.9,98869.1,3 1 Precise,OOtcKc3l2q
Arbeitslosigkeit,Precise,Question,2,1000,3,2280,1,2280,2052,2508,3 2 Precise,OOtcKc3l2q
Urteile,Precise,Question,1,103000,4,103156,1,103156,92840.4,113471.6,4 1 Precise,OOtcKc3l2q
Urteile,Precise,Question,2,1900,4,1945,1,1945,1750.5,2139.5,4 2 Precise,OOtcKc3l2q
Geographie,Precise,Test,1,20,5,17.2,1,17.2,15.48,18.92,5 1 Precise,OOtcKc3l2q
Arbeitslosigkeit,Precise,Test,1,10,3,2.5,1,2.5,2.25,2.75,3 1 Precise,OOtcKc3l2q
Urteile,Precise,Test,1,2,4,1.9,1,1.9,1.71,2.09,4 1 Precise,OOtcKc3l2q
Geographie,Round,Question,1,40000,5,40000,1,41285,37156.5,45413.5,5 1 Round,ug5UyOg0HS
Geographie,Round,Question,2,7000,5,7000,1,7105,6394.5,7815.5,5 2 Round,ug5UyOg0HS
Arbeitslosigkeit,Round,Question,1,90000,3,90000,1,89881,80892.9,98869.1,3 1 Round,ug5UyOg0HS
Arbeitslosigkeit,Round,Question,2,2500,3,2500,1,2280,2052,2508,3 2 Round,ug5UyOg0HS
Urteile,Round,Question,1,50000,4,100000,1,103156,92840.4,113471.6,4 1 Round,ug5UyOg0HS
Urteile,Round,Question,2,400,4,2000,1,1945,1750.5,2139.5,4 2 Round,ug5UyOg0HS
Geographie,Round,Test,1,15,5,17.5,1,17.2,15.48,18.92,5 1 Round,ug5UyOg0HS
Arbeitslosigkeit,Round,Test,1,2,3,2.8,1,2.5,2.25,2.75,3 1 Round,ug5UyOg0HS
Urteile,Round,Test,1,5,4,2,1,1.9,1.71,2.09,4 1 Round,ug5UyOg0HS
Geographie,Precise,Question,1,81000,5,41285,1,41285,37156.5,45413.5,5 1 Precise,Xlr8aBFtO9
Geographie,Precise,Question,2,7100,5,7105,1,7105,6394.5,7815.5,5 2 Precise,Xlr8aBFtO9
Arbeitslosigkeit,Precise,Question,1,89000,3,89881,1,89881,80892.9,98869.1,3 1 Precise,Xlr8aBFtO9
Arbeitslosigkeit,Precise,Question,2,0.1,3,2280,1,2280,2052,2508,3 2 Precise,Xlr8aBFtO9
Urteile,Precise,Question,1,103000,4,103156,1,103156,92840.4,113471.6,4 1 Precise,Xlr8aBFtO9
Urteile,Precise,Question,2,9000,4,1945,1,1945,1750.5,2139.5,4 2 Precise,Xlr8aBFtO9
Geographie,Precise,Test,1,8,5,17.2,1,17.2,15.48,18.92,5 1 Precise,Xlr8aBFtO9
Arbeitslosigkeit,Precise,Test,1,2,3,2.5,1,2.5,2.25,2.75,3 1 Precise,Xlr8aBFtO9
Urteile,Precise,Test,1,9,4,1.9,1,1.9,1.71,2.09,4 1 Precise,Xlr8aBFtO9
Gotthardtunnel,Precise,Question,1,16000,2,16942,2,16942,15247.8,18636.2,2 1 Precise,taks4euCiA
Gotthardtunnel,Precise,Question,2,4000,2,2257,2,2257,2031.3,2482.7,2 2 Precise,taks4euCiA
Umsatzlöhne,Precise,Question,1,9000,6,16553,2,16553,14897.7,18208.3,6 1 Precise,taks4euCiA
Umsatzlöhne,Precise,Question,2,3700,6,3750,2,3750,3375,4125,6 2 Precise,taks4euCiA
Arztpraxen,Precise,Question,1,5000,1,25439,2,25439,22895.1,27982.9,1 1 Precise,taks4euCiA
Arztpraxen,Precise,Question,2,6000,1,19004,2,19004,17103.6,20904.4,1 2 Precise,taks4euCiA
Gotthardtunnel,Precise,Test,1,40,2,13.3,2,13.3,11.97,14.63,2 1 Precise,taks4euCiA
Umsatzlöhne,Precise,Test,1,25,6,22.7,2,22.7,20.43,24.97,6 1 Precise,taks4euCiA
Arztpraxen,Precise,Test,1,60,1,74.7,2,74.7,67.23,82.17,1 1 Precise,taks4euCiA
Gotthardtunnel,Round,Question,1,17000,2,17000,2,16942,15247.8,18636.2,2 1 Round,qW3CMIHFvx
Gotthardtunnel,Round,Question,2,2300,2,2300,2,2257,2031.3,2482.7,2 2 Round,qW3CMIHFvx
Umsatzlöhne,Round,Question,1,18000,6,17000,2,16553,14897.7,18208.3,6 1 Round,qW3CMIHFvx
Umsatzlöhne,Round,Question,2,4000,6,4000,2,3750,3375,4125,6 2 Round,qW3CMIHFvx
Arztpraxen,Round,Question,1,25000,1,25000,2,25439,22895.1,27982.9,1 1 Round,qW3CMIHFvx
Arztpraxen,Round,Question,2,19000,1,19000,2,19004,17103.6,20904.4,1 2 Round,qW3CMIHFvx
